1002,"PROVIDER,EIGHTEEN","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1003,"PROVIDER,NINETEEN","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN ASSISTANT","FULL TIME","",
1004,"MEDICINE,AV","","","","","","","","PHYSICIAN","FULL TIME","",
1005,"PROVIDER,TWENTY","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","RESIDENT","FULL TIME","",
1006,"PROVIDER,TWENTYONE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","PHD","FULL TIME","",
1007,"PROVIDER,TWENTYTWO","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1008,"PROVIDER,TWENTYTHREE","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1009,"PROVIDER,TWENTYFOUR","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1010,"PROVIDER,TWENTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1011,"PROVIDER,TWENTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1018,"PROVIDER,TWENTYSEVEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1037,"PROVIDER,TWENTYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1039,"PROVIDER,TWENTYNINE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1057,"PROVIDER,THIRTY","MALE","DEC  7,1941","Scholar Extraordinaire","666547769","","","MEDICINE","","","",
1085,"AVIVAUSER,ONE","MALE","","","000895343","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","PART TIME","",
1086,"AVIVAUSER,NINE","FEMALE","","","000349343","","","INFORMATION SYSTEMS CENTER","","","",
1087,"AVIVAUSER,TWENTYSEVEN","MALE","","","000174999","","","INFORMATION SYSTEMS CENTER","","","",
1088,"AVIVAUSER,TEN","MALE","","","001432588","","","INFORMATION SYSTEMS CENTER","","","",
1089,"AVIVAUSER,TWELVE","MALE","","","000008484","","","MEDICAL","","","",
1090,"AVIVA,APPLICATION PROXY","MALE","","","111221212","","","INFORMATION SYSTEMS CENTER","","","",
1091,"AVIVAUSER,SEVEN","MALE","","","001341234","","","INFORMATION SYSTEMS CENTER","","","",
1092,"PROVIDER,THIRTYONE","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1093,"AVIVAUSER,TWENTYFIVE","FEMALE","","","000323432","","","INFORMATION SYSTEMS CENTER","","","",
1094,"AVIVAUSER,ELEVEN","","","","001344567","","","INFORMATION SYSTEMS CENTER","","","",
1095,"AVIVAUSER,THIRTEEN","FEMALE","","","001342468","","","INFORMATION SYSTEMS CENTER","","","",
1096,"AVIVAUSER,TWENTYEIGHT","FEMALE","","","000499544","","","INFORMATION SYSTEMS CENTER","","","",
1097,"AVIVAUSER,EIGHT","MALE","","","001348989","","","INFORMATION SYSTEMS CENTER","","","",
1098,"AVIVAUSER,TWO","","","","001341112","","","INFORMATION SYSTEMS CENTER","","","",
1099,"AVIVAUSER,FOUR","","","","001342229","","","INFORMATION SYSTEMS CENTER","","","",
1100,"AVIVAUSER,FIVE","FEMALE","","","000435732","","","INFORMATION SYSTEMS CENTER","","","",
1101,"AVIVAUSER,THREE","FEMALE","","","001228765","","","INFORMATION SYSTEMS CENTER","","","",
1102,"AVIVAUSER,FIFTYSEVEN","MALE","","","222331122","","","INFORMATION SYSTEMS CENTER","","","",
1103,"AVIVAUSER,SIX","FEMALE","","","777661234","","","INFORMATION SYSTEMS CENTER","","","",
1104,"AVIVAUSER,TWENTY","MALE","","","000456454","","","INFORMATION SYSTEMS CENTER","","","",
1105,"AVIVAUSER,TWENTONE","FEMALE","","","000847374","","","INFORMATION SYSTEMS CENTER","","","",
1106,"AVIVAUSER,TWENTYTWO","MALE","","","000938434","","","INFORMATION SYSTEMS CENTER","","","",
1107,"AVIVAUSER,TWENTYSIX","","","SYSTEMS ANALYST","000988834","","","INFORMATION SYSTEMS CENTER","","","",
1108,"AVIVAUSER,TWENTYNINE","","","","000000000","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","","",
1109,"AVIVASURG,SURGEON ONE","MALE","DEC 13,1960","SURGEON","666000001","","","SURGERY","","","",
1110,"AVIVASURG,SURGEON TWO","FEMALE","","SURGEON","666000002","","","SURGERY","","","",
1111,"AVIVASURG,SURGEON THREE","MALE","","SURGEON","666000003","","","SURGERY","","","",
1112,"AVIVASURG,SURGEON FOUR","FEMALE","","SURGEON","666000014","","","SURGERY","","","",
1113,"AVIVASURG,NURSE ONE","MALE","DEC 13,1960","NURSE","666001001","","","SURGERY","","","",
1114,"AVIVASURG,NURSE TWO","FEMALE","","NURSE","666001002","","","SURGERY","","","",
1115,"AVIVASURG,NURSE THREE","FEMALE","","NURSE","666001003","","","SURGERY","","","",
1116,"AVIVASURG,NURSE FOUR","MALE","","NURSE","666001004","","","SURGERY","","","",
1117,"AVIVASURG,RESIDENT ONE","MALE","DEC 13,1980","RESIDENT","666002001","","","SURGERY","","","",
1118,"AVIVASURG,RESIDENT TWO","FEMALE","DEC 13,1980","RESIDENT","666002002","","","SURGERY","","","",
1119,"AVIVAUSER,THIRTY","MALE","","","000000030","","","INFORMATION SYSTEMS CENTER","","","",
1120,"AVIVAUSER,FOURTEEN","MALE","","","000328543","","","INFORMATION SYSTEMS CENTER","","","",
1121,"AVIVAUSER,THIRTYONE","MALE","","","000000031","","","INFORMATION SYSTEMS CENTER","","","",
1122,"AVIVAUSER,THIRTYTWO","FEMALE","","","000000032","","","INFORMATION SYSTEMS CENTER","","","",
1123,"AVIVAUSER,THIRTYTHREE","MALE","","","000000033","","","INFORMATION SYSTEMS CENTER","","","",
1124,"AVIVAUSER,THIRTYFOUR","FEMALE","","","000000034","","","INFORMATION SYSTEMS CENTER","","","",
1125,"VPR,USER","","","","","","","","","","",
1126,"VPR,SYNC USER","","","","000001212","","","INFORMATION RESOURCE MGMT","","","",
1127,"ZZZFORTY,ONE","FEMALE","","","666789415","","","MEDICAL","","","",
1129,"VPR,USER TEST","","","","000008787","","","INFORMATION RESOURCE MGMT","","","",
1131,"AVIVAUSER,FORTY","FEMALE","","","666784512","","","INFORMATION SYSTEMS CENTER","","","",
1132,"ZZAVIVA,FORTYONE","FEMALE","","","666987456","","","MEDICAL","","","",
1133,"AVIVAUSER,FORTYONE","FEMALE","","","666123456","","","INFORMATION SYSTEMS CENTER","","","",
1134,"AVIVAUSER,FORTYTWO","FEMALE","","","666985600","","","MEDICAL","","","",
1135,"JUERGENSMEYER,BRIAN L","MALE","","COMPUTER SPECIALIST","666661013","","","INFORMATION RESOURCE MGMT","","","",
1136,"NURSE,PRACTITIONER THIRTYONE","MALE","","NURSE PRACTITIONER","000110031","","","NURSING","","","",
1137,"NURSE,PRACTITIONER THIRTYTWO","FEMALE","","NURSE PRACTITIONER","000110032","","","NURSING","","","",
1138,"AVIVAUSER,THIRTYFIVE","FEMALE","","","666000035","","","INFORMATION SYSTEMS CENTER","","","",
1139,"RESIDENT,TWO","FEMALE","","RESIDENT","000000002","","","MEDICAL","","","",
1140,"RESIDENT,THREE","MALE","","RESIDENT","000000003","","","MEDICAL","","","",
1141,"RESIDENT,FOUR","FEMALE","","RESIDENT","000000004","","","MEDICAL","","","",
1142,"RESIDENT,FIVE","MALE","","RESIDENT","000000005","","","MEDICAL","","","",
1143,"RESIDENT,SIX","FEMALE","","RESIDENT","000000006","","","MEDICAL","","","",
1144,"AVIVAUSER,THIRTYSIX","MALE","","","000000036","","","INFORMATION SYSTEMS CENTER","","","",
1147,"AVIVAUSER,THIRTYSEVEN","MALE","","","000884751","","","INFORMATION RESOURCE MGMT","","","",
1148,"AVIVAUSER,FIFTY","MALE","","","","","","INFORMATION RESOURCE MGMT","","","",
1159,"PROVIDER,THIRTYTWO","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1160,"PROVIDER,THIRTYTHREE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1169,"PROVIDER,THIRTYFOUR","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1171,"PROVIDER,THIRTYFIVE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1212,"PROVIDER,THIRTYSIX","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1234,"PROVIDER,THIRTYSEVEN","","","Scholar Extraordinaire","666547773","","","MEDICINE","","","",
1251,"PROVIDER,THIRTYEIGHT","MALE","","Scholar Extraordinaire","","","","MEDICINE","DENTIST","FULL TIME","",
1252,"PROVIDER,THIRTYNINE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1253,"PROVIDER,FORTY","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","TECHNICIAN","FULL TIME","",
1258,"PROVIDER,FORTYONE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1259,"PROVIDER,FORTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1260,"PROVIDER,FORTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1261,"PROVIDER,FORTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1296,"PROVIDER,FORTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1297,"PROVIDER,FORTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1298,"PROVIDER,FORTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1299,"PROVIDER,FORTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1476,"PROVIDER,FORTYNINE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1595,"PROVIDER,FIFTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1596,"PROVIDER,FIFTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1597,"PROVIDER,FIFTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1598,"PROVIDER,FIFTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1599,"PROVIDER,FIFTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
1600,"PROVIDER,FIFTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1601,"PROVIDER,FIFTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","PART TIME","",
1602,"PROVIDER,FIFTYSEVEN","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1603,"PROVIDER,FIFTYEIGHT","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1604,"PROVIDER,FIFTYNINE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
1605,"PROVIDER,SIXTY","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1606,"PROVIDER,SIXTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1607,"PROVIDER,SIXTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1608,"PROVIDER,SIXTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1609,"PROVIDER,SIXTYFOUR","","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1610,"PROVIDER,SIXTYFIVE","","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1611,"PROVIDER,SIXTYSIX","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1612,"PROVIDER,SIXTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1613,"PROVIDER,SIXTYEIGHT","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1614,"PROVIDER,SIXTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1615,"PROVIDER,SEVENTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1616,"PROVIDER,SEVENTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
1926,"PROVIDER,SEVENTYTWO","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN ASSISTANT","FULL TIME","",
1999,"PROVIDER,SEVENTYTHREE","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
2000,"PROVIDER,SEVENTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
9000,"PROVIDER,SEVENTYFIVE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9001,"PROVIDER,SEVENTYSIX","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9002,"PROVIDER,SEVENTYSEVEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9003,"PROVIDER,SEVENTYEIGHT","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9004,"PROVIDER,SEVENTYNINE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9005,"PROVIDER,EIGHTY","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9006,"PROVIDER,EIGHTYONE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9007,"PROVIDER,EIGHTYTWO","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9008,"PROVIDER,EIGHTYTHREE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9009,"PROVIDER,EIGHTYFOUR","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9010,"PROVIDER,EIGHTYFIVE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9011,"PROVIDER,EIGHTYSIX","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9012,"PROVIDER,EIGHTYSEVEN","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9013,"PROVIDER,EIGHTYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9014,"PROVIDER,EIGHTYNINE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9015,"PROVIDER,NINETY","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9016,"PROVIDER,NINETYONE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9017,"PROVIDER,NINETYTWO","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9018,"PROVIDER,NINETYTHREE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9019,"PROVIDER,NINETYFOUR","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9020,"PROVIDER,NINETYFIVE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9021,"PROVIDER,NINETYSIX","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9022,"PROVIDER,NINETYSEVEN","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9023,"PROVIDER,NINETYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9024,"PROVIDER,NINETYNINE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
9025,"PROVIDER,ONEHUNDRED","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","RESIDENT","FULL TIME","",
9026,"WARDCLERK,ONE","FEMALE","","164","","","","","","","",
9027,"WARDCLERK,TWO","FEMALE","","164","","","","","","","",
9028,"WARDCLERK,THREE","FEMALE","","164","","","","","","","",
9029,"WARDCLERK,FOUR","FEMALE","","164","","","","","","","",
9030,"WARDCLERK,FIVE","FEMALE","","164","","","","","","","",
9031,"WARDCLERK,SIX","FEMALE","","164","","","","","","","",
9032,"WARDCLERK,SEVEN","FEMALE","","164","","","","","","","",
9033,"WARDCLERK,EIGHT","FEMALE","","164","","","","","","","",
9034,"WARDCLERK,NINE","","","164","","","","","","","",
9035,"WARDCLERK,TEN","FEMALE","","164","","","","","","","",
9036,"WARDCLERK,ELEVEN","MALE","","164","","","","","","","",
9037,"WARDCLERK,TWELVE","MALE","DEC  7,1941","164","","","","1029","","","",
9038,"WARDCLERK,THIRTEEN","MALE","","164","","","","","","","",
9039,"WARDCLERK,FOURTEEN","MALE","","164","","","","","","","",
9040,"WARDCLERK,FIFTEEN","FEMALE","","164","","","","","","","",
9041,"WARDCLERK,SIXTEEN","FEMALE","","164","","","","","","","",
9042,"WARDCLERK,SEVENTEEN","MALE","","164","","","","","","","",
9043,"WARDCLERK,EIGHTEEN","MALE","","164","","","","","","","",
9044,"WARDCLERK,NINETEEN","FEMALE","","164","","","","","","","",
9045,"WARDCLERK,TWENTY","FEMALE","","164","","","","","","","",
9046,"WARDCLERK,TWENTYONE","MALE","","164","","","","","","","",
9047,"WARDCLERK,TWENTYTWO","FEMALE","DEC  7,1941","COMPUTER SPECIALIST","","","","FISCAL","","","",
9048,"WARDCLERK,TWENTYTHREE","FEMALE","","164","","","","","","","",
9049,"WARDCLERK,TWENTYFOUR","FEMALE","","164","","","","","","","",
9050,"WARDCLERK,TWENTYFIVE","FEMALE","","164","","","","","","","",
9051,"WARDCLERK,TWENTYSIX","FEMALE","","164","","","","","","","",
9052,"WARDCLERK,TWENTYSEVEN","MALE","","164","","","","","","","",
9053,"WARDCLERK,TWENTYEIGHT","MALE","","164","","","","","","","",
9054,"WARDCLERK,TWENTYNINE","FEMALE","","164","","","","","","","",
9055,"WARDCLERK,THIRTY","FEMALE","","164","","","","","","","",
9056,"WARDCLERK,THIRTYONE","FEMALE","","164","","","","","","","",
9057,"WARDCLERK,THIRTYTWO","","","164","","","","","","","",
9058,"WARDCLERK,THIRTYTHREE","FEMALE","DEC  7,1941","164","","","","","","","",
9059,"WARDCLERK,THIRTYFOUR","","","164","","","","","","","",
9060,"WARDCLERK,THIRTYFIVE","FEMALE","","164","","","","","","","",
9061,"WARDCLERK,THIRTYSIX","FEMALE","","164","","","","","","","",
9062,"WARDCLERK,THIRTYSEVEN","FEMALE","","164","","","","","","","",
9063,"WARDCLERK,THIRTYEIGHT","FEMALE","","164","","","","","","","",
9064,"WARDCLERK,THIRTYNINE","MALE","","164","","","","","","","",
9065,"WARDCLERK,FORTY","MALE","","164","","","","","","","",
9066,"NURSE,TEST","MALE","DEC  7,1941","","666549845","","","NURSING","","","",
9067,"EMPLOYEE,ONE","","","","","","","","","","",
9068,"MEDICATIONS,UNIT DOSE","","","","","","","","","","",
9069,"WARDCLERK,FORTYONE","","","","","","","","","","",
9070,"WARDCLERK,FORTYTWO","","","","","","","","","","",
9071,"TESTUSER,FEE","FEMALE","DEC  7,1941","FEE BASIS CLERK","666666666","","","MEDICAL ADMINISTRATION","","","",
9073,"WARDCLERK,FORTYTHREE","","","","","","","","","","",
9074,"PATCH,TEST","FEMALE","DEC  7,1941","","","","","INFORMATION SYSTEMS CENTER","","","",
9075,"WARDCLERK,FORTYFOUR","","","","","","","","","","",
9076,"WARDCLERK,FORTYFIVE","FEMALE","DEC  7,1941","","","","","","","","",
9077,"WARDCLERK,FORTYSIX","","","","","","","","","","",
10117,"WARDCLERK,FORTYSEVEN","","","","","","","INFORMATION SYSTEMS CENTER","","","",
10119,"WARDCLERK,FORTYEIGHT","MALE","","","666423313","","","MEDICAL ADMINISTRATION","","","",
10120,"WARDCLERK,FORTYNINE","","","DUMMY","","","","INFORMATION SYSTEMS CENTER","","","",
10652,"WARDCLERK,FIFTY","","","COMPUTER SPECIALIST","","","","FISCAL","","","",
10653,"WARDCLERK,FIFTYONE","","","COMPUTER SPECIALIST","","","","FISCAL","","","",
10661,"WARDCLERK,FIFTYTWO","","","","","","","INFORMATION SYSTEMS CENTER","","","",
10958,"WARDCLERK,FIFTYTHREE","MALE","DEC  7,1941","COMPUTER SPECIALIST","666549812","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","FULL TIME","",
11247,"WARDCLERK,FIFTYFOUR","MALE","DEC  7,1941","","","","WARDCLERK,FIFTY","MEDICAL ADMINISTRATION","","","",
11248,"WARDCLERK,FIFTYFIVE","MALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11249,"WARDCLERK,FIFTYSIX","","","","","","","INFORMATION SYSTEMS CENTER","","","",
11250,"WARDCLERK,FIFTYSEVEN","","","","","","","MEDICAL","","","",
11251,"USER,LAB","MALE","DEC  7,1941","OFFICE SUPPORT","","","","LABORATORY","","","",
11252,"ERROR,CHECK","MALE","","","","","","INFORMATION RESOURCE MGMT","","","",
11253,"TEST,MAIL","","","","","","","INFORMATION RESOURCE MGMT","","","",
11254,"KERNEL,TEST","MALE","","DOC","","","","MEDICINE","PHYSICIAN","FULL TIME","",
11255,"TEST,DSD","","","","","","","1029","","","",
11256,"WARDCLERK,FIFTYEIGHT","","","","","","","","PHYSICIAN","FULL TIME","",
11257,"WARDCLERK,FIFTYNINE","MALE","","","","","","1029","PHYSICIAN ASSISTANT","FULL TIME","",
11258,"WARDCLERK,SIXTY","MALE","","","","","","1029","PHYSICIAN ASSISTANT","FULL TIME","",
11259,"TEST,THREE","","","","","","","INFORMATION RESOURCE MGMT","","","",
11260,"KEY,TEST","","","","","","","INFORMATION RESOURCE MGMT","","","",
11261,"USER,OPC","FEMALE","","CLERK-TYPIST","","","WARDCLERK,FORTYEIGHT","MEDICAL ADMINISTRATION","","","",
11262,"USER,MC","FEMALE","","","","","","","","","",
11263,"RT,TEST","","","","","","","RADIOLOGY","","","",
11264,"TEST,RTM","","","","","","","CANTEEN","","","",
11265,"PROVIDER,TEST","","","","","","","MEDICAL","RESIDENT","FULL TIME","",
